x,M1,V1,M2,V2
6.800000000000001,9.170944444444444,0.7813888888888876,5.651555555555554,0.9511111111111106
6.9,9.226583333333338,0.3313888888888883,5.730666666666668,0.6311111111111103
7.0,9.237222222222222,-0.118611111111111,5.777777777777779,0.31111111111111
7.1,9.202861111111112,-0.5686111111111121,5.792888888888889,-0.008888888888890278
7.2,9.1235,-1.0186111111111114,5.776,-0.32888888888889056
7.300000000000001,8.999138888888893,-1.4686111111111124,5.727111111111114,-0.6488888888888908
7.4,8.829777777777778,-1.9186111111111117,5.646222222222221,-0.9688888888888911
7.5,8.615416666666668,-2.368611111111111,5.533333333333331,-1.2888888888888896
7.6,8.356055555555557,-2.8186111111111103,5.388444444444438,-1.60888888888889
7.7,8.05169444444445,-3.268611111111113,5.211555555555556,-1.9288888888888902
7.800000000000001,7.7023333333333355,-3.7186111111111124,5.00266666666667,-2.2488888888888905
